Row Labels,RUTA 101,RUTA RUTA 10202,RUTA RUTA 10303,RUTA RUTA 10404,RUTA RUTA 10505,RUTA RUTA 10606,RUTA RUTA 10707,RUTA RUTA 10808,RUTA RUTA RUTA 1090909,RUTA RUTA 110RUTA 1100,RUTA RUTA 111RUTA 111RUTA 111,RUTA RUTA 112RUTA 1122,RUTA RUTA 113RUTA 1133,RUTA RUTA 114RUTA 1144,RUTA RUTA 115RUTA 1155,RUTA RUTA 116RUTA 1166,RUTA RUTA 117RUTA 1177,RUTA RUTA 118RUTA 1188,RUTA RUTA 119RUTA 1199,RUTA RUTA 12020,RUTA RUTA 12323,RUTA RUTA 12525,RUTA RUTA 13333,RUTA RUTA 15454,RUTA RUTA 15858,RUTA RUTA 15959,RUTA RUTA 16464,RUTA RUTA 16565,RUTA RUTA 16767,RUTA RUTA 16868,RUTA RUTA 17070,RUTA RUTA 17272,RUTA RUTA 17575,RUTA RUTA 19595,RUTA 2RUTA 2100,RUTA 26RUTA 261-MR4-MR4,RUTA 262,RUTA 266,RUTA 6,RUTA LOS VANEGAS
ACAHUALINCA,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 159,,,,,,,,,,,,,RUTA 6,
ADUANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 266,,
AEROPUERTO INTERNACIONAL AGUSTO C. SANDINO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 266,,
AGUADORA,,,RUTA 103,,,RUTA 106,,,,RUTA 110,,RUTA 112,,RUTA 114,,RUTA 116,,RUTA 118,,,RUTA 123,,,,,,,,,,,,RUTA 175,,,,,,,
ALCALDIA DE MANAGUA,,,,,,,RUTA 107,,,,,,,,,,,,,,,,,,RUTA 158,,,,,,,,,,,,RUTA 262,,,
ALKE MONS LEZCANO,RUTA 101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALKE SANTA ANA,,,,,,,,,,,,,,,,,,,,,,,RUTA 133,,,,,,,,,,,,,,,,,
ALTA GRACIA,,,,,,,,,,,,,,,,,,,RUTA 119,,,,,,,,,,,,,,,,,,,,,
ALTAGRACIA,,,,,,,,,,,,,,,,,,,,,,,,RUTA 154,,,,,,,,,,,,,,,RUTA 6,
AMERICAS TRES,,,RUTA 103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTIGUA EMBAJADA AMERICANA,,,,,,,,,,,,,,,,RUTA 116,,,,,,,,,,,,,,,,,,,,,,,,
ANTIGUA EMBAJADA USA,,,,,,,,,,,,,RUTA 113,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTIGUA PEPSI,RUTA 101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTIGUO CINE CABRERA AHORA PARE DE SUFRIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 175,,,,,,,
ANTIGUO CINE CABRERA O PARE DE SUFRIR,,,,,,,RUTA 107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTIGUO CINE GONZALEZ MONUMENTO AL GUERRILLERO,,,,,,,,,,,,,,,,,,,,,RUTA 123,,,,,,,,,,,,,,,,,,,
ANTIGUO CINE GONZALEZ O MONUMENTO AL GUERRILLERO,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 164,,,,,,,,,,,,,
ANTIGUO CINE SALINAS,,,,,,,,RUTA 108,RUTA 109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASAMBLEA NACIONAL,,,,,,,,,,,,,,,,,,,,,,RUTA 125,,,,,,,,,,,,,,,RUTA 262,,,
BANCO POPULAR MONSEÑOR LEZCANO,,,,,,,,,,,,,,,,RUTA 116,,,,,,,,,,,,,,,,,,,,,,,,
BARRIO ALTAGRACIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 262,,,
BARRIO ANDRES CASTRO,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 158,,,,,,,,,,,,,,,
BARRIO BOER,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 164,,,,,RUTA 172,,,,,,,,
BARRIO CAMILO ORTEGA,,,,,,,RUTA 107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARRIO COSTA RICA,,,,,,,,,,,,,,RUTA 114,,,,,,,,,,,,,,,,,,,,,,,,,,
BARRIO DOMITILA LUGO,,,,,,,,RUTA 108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARRIO DUCUALI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 6,
BARRIO EDGAR MUNGUIA,,,,,,RUTA 106,,,,,,,,,,,,,,,,,,,,,,,,RUTA 168,,,,,,,,,,
BARRIO EL RECREO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 261-MR4,,,,
BARRIO EL RIGUERO,,,,,,,,RUTA 108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARRIO EL RODEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 266,,
BARRIO HUGO CHAVEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 170,,,,,,,RUTA 266,,
BARRIO JORGE DIMITROV,,,,RUTA 104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARRIO LA FUENTE,,,,,,,,RUTA 108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARRIO LA PRIMAVERA,,,,,,,,RUTA 108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARRIO LAS TORRES (C. NORTE),,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 165,,,,,,,,,,,,
BARRIO LOMA LINDA,,,,,,,RUTA 107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARRIO MARIA AUXILIADORA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 6,
BARRIO MILAGRO DE DIOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 195,,,,,,
BARRIO NACIONES UNIDAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 165,,,,,,,,,,,,
BARRIO REPARTO SHICK,,,,,,,,RUTA 108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARRIO SALOMON MORENO,,,,,,,,RUTA 108,RUTA 109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARRIO SAN JOSE ORIENTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 6,
BARRIO SAN LUIS,,,,,,,,,,,,,,,,,,,,,,,,RUTA 154,,,,,,,,,,,,,,,,
BARRIO SANTA ANA,,,,,,,,,RUTA 109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARRIO SANTA ROSA,,,,,RUTA 105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 261-MR4,,,,
BARRIO SELIM SHIBLE,,,,,,,,RUTA 108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATAHOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 6,
BATAHOLA NORTE,,,,,,,,,,,,,,,,,,,,RUTA 120,,,,,,,,,,,,,,,,,,,,
BELLO HORIZONTE,,,,,,,,,,,,,,,,,,,,,,,,RUTA 154,,,,,,RUTA 168,,,,,,,,,,
BORGOÑA,,,,,,,,RUTA 108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. NORTE,,,,,,,,,,,,RUTA 112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALLE 27 MAYO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 167,,,,,,,,,,,
CALLE COLON,,,,,,,,,,,,,RUTA 113,,,,,,,,,,,,,,,,,,,,,,,RUTA 261-MR4,,,,
CALLE PRINCIPAL ALTAMIRA,,,,,,,,RUTA 108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALLE PRINCIPAL DE ALTAMIRA,,,,RUTA 104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 261-MR4,,,,
CALZADOS SANDAK,,,RUTA 103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMILO ORTEGA,,,,,RUTA 105,,,,,,,,,,,,,,,,,,,RUTA 154,RUTA 158,,,,,,,,,,,,,,,
CAMPO BRUCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 195,,,,,,
CANAL DOS,,RUTA 102,,,,,,,,,,,,,,,,RUTA 118,,,,,,,,,,,,,,,,RUTA 195,,RUTA 261-MR4,,,,
CANCILLERIA ,,,,,,,,,,,,,,,,,,,,,,,RUTA 133,,,,,,,,,,,,,,,,,
CARRETERA MASAYA COLEGIO TERESIANO,,,,,,,,,,,,,,,,,,,RUTA 119,,,,,,,,,,,,,,,,,,,,,
CARRETERA SUR,,,,,,,,,,,,,,,,,,,,,,RUTA 125,,,,,,,,,,,,,,,,,,
CASA DE LAS MANGUERAS,,,,,,,,,,,,,,,,,,,,,,,RUTA 133,,,,,,,,,,,,,,,,,
CASA DEL OBRERO,,,,,,,,,,,,,RUTA 113,,,RUTA 116,,,,,,,,RUTA 154,,,,,,,,,,RUTA 195,,,,,,
CASA PELLAS ACAHUALINCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 6,
CATEDRAL MANAGUA,,,RUTA 103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATORCE DE SEPTIEMBRE,RUTA 101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATORCE SEPTIEMBRE,,,,,,,,,,RUTA 110,,,,,,,,,RUTA 119,,,,,,,,,,,,,,,,,,,,,
CEMENTERIO OCCIDENTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 167,,,,RUTA 175,,,,,,,
CEMENTERIO ORIENTAL,,,RUTA 103,,RUTA 105,,,,,,RUTA 111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEMENTERIO PERIFERICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 261-MR4,,,,
CENTRO COMERCIAL MANAGUA,,,,RUTA 104,,,,,,RUTA 110,,,,,,,RUTA 117,,,,,,,,,,,,,,,,,,,,,,,
CENTRO JUVENIL DON BOSCO,,,,,,,,,,,,,,,,,,RUTA 118,,,,,,,,RUTA 159,,,,,,,,,,RUTA 261-MR4,,,,
CINE BLANCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 195,,,,,,
CIUDAD JARDIN,RUTA 101,,,,,,,RUTA 108,,,,,,,,,,,,,,,,RUTA 154,,RUTA 159,,,,RUTA 168,,,,,,,,,,
CIUDAD JARDIN CALLE BARBERIA TREMINIO,,,,,,,,,,,RUTA 111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIUDAD SANDINO,,,,,,,,,,,,,RUTA 113,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLINICA DON BOSCO,,,RUTA 103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLUB TERRAZA,,,,,,RUTA 106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLEGIO ANUNCIACION,,,,,,RUTA 106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLEGIO BENJAMIN ZELEDON BARRIO EL RECREO,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 158,,,,,,,,,,,,,,,
COLEGIO CRISTO REY,,RUTA 102,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 164,,,,,,,,,RUTA 261-MR4,,,,
COLEGIO DIVINO PASTOR,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 158,,,,,,,,,,,,,,,
COLEGIO GASPAR GARCIA LAVIANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 6,
COLEGIO LOYOLA,,,,,,,,,,,,,,,,,,,,,,,RUTA 133,,,RUTA 159,,,,,,,,,,,,,,
COLEGIO MANUEL OLIVARES,,,,,,,,,RUTA 109,,,,,,,,,,RUTA 119,,,,RUTA 133,,,,,,,,,,,,,,,,,
COLEGIO PRIMERO MAYO,,,,,,,,,,,,,,,,,,,RUTA 119,,,,,,,,,,,,,,,,,,,,,
COLEGIO SIMON BOLIVAR,,,,,,,,,,,RUTA 111,,,,,,,,,,,,,,,,,,,,,,,RUTA 195,,,,,,RUTA LOS VANEGAS
COLEGIO TERESIANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA LOS VANEGAS
COLONIA CATORCE SEPTIEMBRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 195,,,,,,
COLONIA DIEZ DE JUNIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 195,,,,,,
COLONIA EL PERIODISTA,,,,,,,,,,RUTA 110,,,,,,,,,,RUTA 120,,,,,,,,,,,,,,,,,,,,
COLONIA MAXIMO JEREZ,,,,,,,,RUTA 108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLONIA MIGUEL BONILLA,,,,,,RUTA 106,,,,,RUTA 111,,,,,,,,,,,,,,,,,,,RUTA 168,,,,,,,,,,
COLONIA NICARAO,,,,RUTA 104,,,,,,,,,,,,,,,RUTA 119,,RUTA 123,,,,,RUTA 159,,,,,,,,,,,,,,
COLONIA PEDRO JOAQUIN CHAMORRO,,,,,,,,RUTA 108,,,,,,,,,,,,,,,,,,,,RUTA 165,,,,,,,,,,,,
COLONIA RAFAELA HERRERA,,,,,,,,,,,RUTA 111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLONIA TENDERI,,,,,,,,RUTA 108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLONIA VILLA AUSTRIA,,,,,,,,,,,,,,,,,,RUTA 118,,,,,,,,,,,,,,,,,,,,,,
COLONIA VILLA VENEZUELA,,,,,,,,,,,,,,,,RUTA 116,,RUTA 118,,,,,,,,,,,,,,,,,,,,,,
CONTRALORIA,,,RUTA 103,,,,,,,,,RUTA 112,,RUTA 114,,,,RUTA 118,,,,RUTA 125,,,,,,,,,,,,,,,,,RUTA 6,
COOPERATIVA PARRALES VALLEJOS FRENTE HOTEL ESTRELLA,,,,RUTA 104,,,,,,,,,,,,RUTA 116,,,,,,,,,,,,,,,,,,,,,,,,
